Site Name,Mean ABS SHAP Value,Stdev,p-value
cg06493994,0.2291577863580828,0.2530621441598926,0.018644516401636436
cg01964552,0.16733965066785694,0.1913476933474881,0.6191498138656599
cg04316941,0.1574881807391944,0.19645804851448098,0.11559419168326325
cg25400422,0.1565666428950723,0.1670102972741841,0.027096847378888535
cg20014412,0.14733506470354954,0.17366498400981142,0.08269214927807676
cg10707110,0.1340499424258401,0.16753251943329975,0.454561198695541
cg20474675,0.13056015439224067,0.14536855267858265,0.10938322638035619
cg03406011,0.1253492990402252,0.18007200984758523,0.26161502968292777
cg03072921,0.12363911234788069,0.14094732012549918,0.025253393940179034
cg27475875,0.09966601193447032,0.11328507951360373,0.11529901002568278
cg12982547,0.0996334004806457,0.11185234221180884,0.8201221792205118
cg11718741,0.09922561970315048,0.12038963643661212,0.09020422406324255
cg22301736,0.0972570912657152,0.113613934446217,0.18169455117893518
cg11972721,0.09663468872387149,0.1159491297657035,0.0038787658652257996
ch.16.1667936F,0.09389216517841986,0.11551958377575527,0.11642678642760383
cg03056526,0.0934950408034322,0.10658580983102912,0.001352726720837208
cg13801201,0.08830761223800508,0.11451122410977196,0.12204716058721868
cg20360947,0.08815699315575222,0.1003350509601681,0.31724504643838414
cg12687112,0.08539007701191806,0.10916886940959196,0.10623056513902192
cg05213896,0.08390410968744688,0.0980301643038072,0.9968487348321667
